method,pattern,scenario,missing_rate,continuous_rmse_mean,continuous_rmse_std,dataset
MeanMode,MAR,incomplete_train,0.2,4.314834971670384,0.2211491557589336,cancer
MeanMode,MAR,incomplete_train,0.3,4.384391442067186,0.27021291626169347,cancer
MeanMode,MCAR,complete_train,0.1,2.945534723922867,0.15890972237111084,cancer
MeanMode,MCAR,complete_train,0.2,2.846140745135324,0.11740299901508534,cancer
MeanMode,MCAR,complete_train,0.3,2.843890369069813,0.09070047439809144,cancer
MeanMode,MCAR,incomplete_train,0.1,2.945534723922867,0.15890972237111084,cancer
MeanMode,MCAR,incomplete_train,0.2,2.846140745135324,0.11740299901508534,cancer
MeanMode,MCAR,incomplete_train,0.3,2.843890369069813,0.09070047439809144,cancer
MeanMode,MNAR,complete_train,0.1,1.6067647763715942,0.07403343195879628,cancer
MeanMode,MNAR,complete_train,0.2,1.7239586639607485,0.05594460711894978,cancer
MeanMode,MNAR,complete_train,0.3,1.7974175276811724,0.07775833325572254,cancer
MeanMode,MNAR,incomplete_train,0.1,1.6067647763715942,0.07403343195879628,cancer
MeanMode,MNAR,incomplete_train,0.2,1.7239586639607485,0.05594460711894978,cancer
MeanMode,MNAR,incomplete_train,0.3,1.7974175276811724,0.07775833325572254,cancer
MissForest,MAR,complete_train,0.1,2.8041624570967985,0.23530641519283035,cancer
MissForest,MAR,complete_train,0.2,2.6213522066647097,0.19521504785028082,cancer
MissForest,MAR,complete_train,0.3,2.746984598466768,0.1470943039546286,cancer
MissForest,MAR,incomplete_train,0.1,2.8041624570967985,0.23530641519283035,cancer
MissForest,MAR,incomplete_train,0.2,2.6213522066647097,0.19521504785028082,cancer
MissForest,MAR,incomplete_train,0.3,2.746984598466768,0.1470943039546286,cancer
MissForest,MCAR,complete_train,0.1,1.9029634423160673,0.12451601499207347,cancer
MissForest,MCAR,complete_train,0.2,1.8394782049545444,0.10061392228956438,cancer
MissForest,MCAR,complete_train,0.3,1.9075326823387868,0.14376200453254406,cancer
MissForest,MCAR,incomplete_train,0.1,1.9029634423160673,0.12451601499207347,cancer
MissForest,MCAR,incomplete_train,0.2,1.8394782049545444,0.10061392228956438,cancer
MissForest,MCAR,incomplete_train,0.3,1.9075326823387868,0.14376200453254406,cancer
MissForest,MNAR,complete_train,0.1,1.2898222382193976,0.14862359701092814,cancer
MissForest,MNAR,complete_train,0.2,1.3065610034974575,0.06350308158745104,cancer
MissForest,MNAR,complete_train,0.3,1.3283645222004778,0.11635920086791979,cancer
MissForest,MNAR,incomplete_train,0.1,1.2898222382193976,0.14862359701092814,cancer
MissForest,MNAR,incomplete_train,0.2,1.3065610034974575,0.06350308158745104,cancer
MissForest,MNAR,incomplete_train,0.3,1.3283645222004778,0.11635920086791979,cancer
